 - : 1, 0s, 776.79hPa, 20.03°C, 547.00m; (sol) 
 - : 595, 365s, 949.08hPa, 28.52°C, 549.00m; (sol) 
 - : 596, 365s, 949.05hPa, 28.52°C, 549.00m; (sol) 
 - : 597, 366s, 949.08hPa, 28.52°C, 550.00m; (sol) 
 - : 598, 366s, 949.03hPa, 28.52°C, 550.00m; (sol) 
 - : 599, 367s, 949.06hPa, 28.53°C, 550.00m; (sol) 
 - : 600, 368s, 949.03hPa, 28.53°C, 549.00m; (sol) 
 - : 601, 368s, 949.06hPa, 28.53°C, 550.00m; (sol) 
 - : 602, 369s, 949.05hPa, 28.52°C, 550.00m; (sol) 
 - : 603, 369s, 949.08hPa, 28.52°C, 550.00m; (sol) 
 - : 604, 370s, 949.08hPa, 28.52°C, 550.00m; (sol) 
 - : 605, 371s, 949.11hPa, 28.52°C, 549.00m; (sol) 
 - : 606, 371s, 949.14hPa, 28.52°C, 549.00m; (sol) 
 - : 608, 373s, 949.09hPa, 28.53°C, 549.00m; (sol) 
 - : 609, 373s, 949.23hPa, 28.53°C, 549.00m; (sol) 
 - : 610, 374s, 949.10hPa, 28.53°C, 549.00m; (sol) 
 - : 611, 374s, 949.13hPa, 28.53°C, 549.00m; (sol) 
 - : 612, 375s, 949.02hPa, 28.54°C, 550.00m; (sol) 
 - : 613, 376s, 949.06hPa, 28.53°C, 549.00m; (sol) 
 - : 614, 376s, 949.09hPa, 28.53°C, 550.00m; (sol) 
 - : 615, 377s, 949.12hPa, 28.53°C, 549.00m; (sol) 
 - : 616, 377s, 949.10hPa, 28.54°C, 549.00m; (sol) 
 - : 617, 378s, 949.16hPa, 28.53°C, 549.00m; (sol) 
 - : 618, 379s, 949.13hPa, 28.54°C, 549.00m; (sol) 
 - : 619, 379s, 949.13hPa, 28.53°C, 549.00m; (sol) 
 - : 620, 380s, 949.10hPa, 28.54°C, 550.00m; (sol) 
 - : 621, 381s, 949.10hPa, 28.53°C, 549.00m; (sol) 
 - : 622, 381s, 949.08hPa, 28.54°C, 549.00m; (sol) 
 - : 623, 382s, 949.08hPa, 28.54°C, 550.00m; (sol) 
 - : 624, 382s, 949.10hPa, 28.53°C, 549.00m; (sol) 
 - : 625, 383s, 949.05hPa, 28.54°C, 550.00m; (sol) 
 - : 626, 384s, 949.11hPa, 28.54°C, 550.00m; (sol) 
 - : 627, 384s, 949.10hPa, 28.54°C, 550.00m; (sol) 
 - : 628, 385s, 949.08hPa, 28.54°C, 549.00m; (sol) 
 - : 629, 386s, 949.11hPa, 28.54°C, 550.00m; (sol) 
 - : 630, 386s, 949.05hPa, 28.54°C, 549.00m; (sol) 
 - : 631, 387s, 949.10hPa, 28.54°C, 549.00m; (sol) 
 - : 632, 387s, 949.13hPa, 28.53°C, 550.00m; (sol) 
 - : 633, 388s, 949.09hPa, 28.55°C, 549.00m; (sol) 
 - : 634, 389s, 949.08hPa, 28.54°C, 549.00m; (sol) 
 - : 635, 389s, 949.15hPa, 28.53°C, 550.00m; (sol) 
 - : 636, 390s, 949.14hPa, 28.54°C, 549.00m; (sol) 
 - : 637, 390s, 949.10hPa, 28.54°C, 551.00m; (sol) 
 - : 638, 391s, 949.04hPa, 28.53°C, 550.00m; (sol) 
 - : 639, 392s, 949.08hPa, 28.54°C, 550.00m; (sol) 
 - : 640, 392s, 949.02hPa, 28.54°C, 550.00m; (sol) 
 - : 641, 393s, 949.08hPa, 28.54°C, 549.00m; (sol) 
 - : 642, 393s, 949.04hPa, 28.53°C, 550.00m; (sol) 
 - : 643, 394s, 949.04hPa, 28.53°C, 550.00m; (sol) 
 - : 644, 395s, 949.09hPa, 28.53°C, 550.00m; (sol) 
 - : 645, 395s, 949.04hPa, 28.53°C, 550.00m; (sol) 
 - : 646, 396s, 949.09hPa, 28.53°C, 549.00m; (sol) 
 - : 647, 396s, 949.07hPa, 28.53°C, 549.00m; (sol) 
 - : 648, 397s, 949.07hPa, 28.53°C, 550.00m; (sol) 
 - : 649, 398s, 949.06hPa, 28.53°C, 549.00m; (sol) 
 - : 650, 398s, 949.05hPa, 28.52°C, 550.00m; (sol) 
 - : 651, 399s, 949.07hPa, 28.53°C, 550.00m; (sol) 
 - : 652, 400s, 949.12hPa, 28.53°C, 549.00m; (sol) 
 - : 653, 400s, 949.13hPa, 28.53°C, 549.00m; (sol) 
 - : 654, 401s, 949.10hPa, 28.53°C, 549.00m; (sol) 
 - : 655, 401s, 949.16hPa, 28.53°C, 549.00m; (sol) 
 - : 657, 403s, 949.08hPa, 28.54°C, 550.00m; (sol) 
 - : 658, 403s, 949.08hPa, 28.54°C, 550.00m; (sol) 
 - : 659, 404s, 949.07hPa, 28.53°C, 551.00m; (sol) 
 - : 660, 404s, 948.99hPa, 28.54°C, 550.00m; (sol) 
 - : 661, 405s, 948.98hPa, 28.53°C, 550.00m; (sol) 
 - : 662, 406s, 949.01hPa, 28.53°C, 550.00m; (sol) 
 - : 663, 406s, 949.00hPa, 28.53°C, 550.00m; (sol) 
 - : 664, 407s, 948.98hPa, 28.53°C, 550.00m; (sol) 
 - : 665, 407s, 949.02hPa, 28.54°C, 550.00m; (sol) 
 - : 666, 408s, 948.98hPa, 28.53°C, 551.00m; (sol) 
 - : 668, 409s, 949.01hPa, 28.53°C, 550.00m; (sol) 
 - : 669, 410s, 949.03hPa, 28.53°C, 550.00m; (sol) 
 - : 670, 411s, 949.03hPa, 28.53°C, 550.00m; (sol) 
 - : 671, 411s, 949.04hPa, 28.53°C, 550.00m; (sol) 
 - : 672, 412s, 949.01hPa, 28.53°C, 550.00m; (sol) 
 - : 673, 412s, 949.10hPa, 28.54°C, 550.00m; (sol) 
 - : 675, 414s, 949.04hPa, 28.53°C, 551.00m; (sol) 
 - : 676, 414s, 949.03hPa, 28.54°C, 549.00m; (sol) 
 - : 677, 415s, 949.03hPa, 28.53°C, 550.00m; (sol) 
 - : 678, 415s, 949.05hPa, 28.54°C, 550.00m; (sol) 
 - : 679, 416s, 949.00hPa, 28.53°C, 550.00m; (sol) 
 - : 680, 417s, 949.01hPa, 28.53°C, 551.00m; (sol) 
 - : 681, 417s, 948.96hPa, 28.54°C, 551.00m; (sol) 
 - : 682, 418s, 949.01hPa, 28.53°C, 550.00m; (sol) 
 - : 683, 419s, 949.06hPa, 28.53°C, 550.00m; (sol) 
 - : 684, 419s, 949.02hPa, 28.54°C, 550.00m; (sol) 
 - : 685, 420s, 949.03hPa, 28.54°C, 550.00m; (sol) 
 - : 686, 420s, 949.00hPa, 28.53°C, 550.00m; (sol) 
 - : 687, 421s, 949.06hPa, 28.53°C, 550.00m; (sol) 
 - : 688, 422s, 949.08hPa, 28.54°C, 550.00m; (sol) 
 - : 689, 422s, 949.20hPa, 28.54°C, 548.00m; (sol) 
 - : 690, 423s, 949.21hPa, 28.55°C, 549.00m; (sol) 
 - : 691, 423s, 949.22hPa, 28.56°C, 549.00m; (sol) 
 - : 692, 424s, 949.15hPa, 28.57°C, 549.00m; (sol) 
 - : 693, 425s, 949.25hPa, 28.58°C, 549.00m; (sol) 
 - : 694, 425s, 949.29hPa, 28.58°C, 547.00m; (sol) 
 - : 695, 426s, 949.31hPa, 28.60°C, 549.00m; (sol) 
 - : 696, 427s, 949.12hPa, 28.59°C, 550.00m; (sol) 
 - : 697, 427s, 949.07hPa, 28.59°C, 550.00m; (sol) 
 - : 698, 428s, 948.99hPa, 28.59°C, 550.00m; (sol) 
 - : 699, 428s, 948.99hPa, 28.60°C, 550.00m; (sol) 
 - : 700, 429s, 949.02hPa, 28.60°C, 550.00m; (sol) 
 - : 701, 430s, 949.05hPa, 28.60°C, 549.00m; (sol) 
 - : 702, 430s, 949.02hPa, 28.60°C, 550.00m; (sol) 
 - : 703, 431s, 949.02hPa, 28.59°C, 550.00m; (sol) 
 - : 704, 432s, 949.07hPa, 28.59°C, 550.00m; (sol) 
 - : 705, 432s, 949.04hPa, 28.59°C, 550.00m; (sol) 
 - : 706, 433s, 949.28hPa, 28.58°C, 548.00m; (sol) 
 - : 707, 433s, 949.32hPa, 28.59°C, 548.00m; (sol) 
 - : 708, 434s, 949.07hPa, 28.59°C, 550.00m; (sol) 
 - : 709, 435s, 949.04hPa, 28.59°C, 550.00m; (sol) 
 - : 710, 435s, 949.01hPa, 28.59°C, 550.00m; (sol) 
 - : 711, 436s, 949.34hPa, 28.60°C, 547.00m; (sol) 
 - : 712, 436s, 949.32hPa, 28.62°C, 547.00m; (sol) 
 - : 713, 437s, 949.20hPa, 28.62°C, 549.00m; (sol) 
 - : 714, 438s, 949.09hPa, 28.62°C, 550.00m; (sol) 
 - : 715, 438s, 949.01hPa, 28.63°C, 551.00m; (sol) 
 - : 716, 439s, 949.10hPa, 28.63°C, 549.00m; (sol) 
 - : 717, 440s, 949.08hPa, 28.64°C, 550.00m; (sol) 
 - : 718, 440s, 949.07hPa, 28.63°C, 550.00m; (sol) 
 - : 719, 441s, 949.04hPa, 28.63°C, 550.00m; (sol) 
 - : 720, 441s, 949.11hPa, 28.62°C, 550.00m; (sol) 
 - : 721, 442s, 949.09hPa, 28.63°C, 550.00m; (sol) 
 - : 722, 443s, 949.01hPa, 28.63°C, 550.00m; (sol) 
 - : 723, 443s, 948.96hPa, 28.63°C, 551.00m; (sol) 
 - : 724, 444s, 948.96hPa, 28.64°C, 550.00m; (sol) 
 - : 725, 444s, 949.00hPa, 28.62°C, 550.00m; (sol) 
 - : 726, 445s, 949.04hPa, 28.63°C, 550.00m; (sol) 
 - : 727, 446s, 949.06hPa, 28.63°C, 550.00m; (sol) 
 - : 728, 446s, 949.00hPa, 28.62°C, 550.00m; (sol) 
 - : 729, 447s, 949.07hPa, 28.61°C, 550.00m; (sol) 
 - : 730, 447s, 949.01hPa, 28.63°C, 550.00m; (sol) 
 - : 731, 448s, 948.99hPa, 28.62°C, 550.00m; (sol) 
 - : 732, 449s, 949.00hPa, 28.62°C, 550.00m; (sol) 
 - : 733, 449s, 948.95hPa, 28.63°C, 550.00m; (sol) 
 - : 734, 450s, 949.06hPa, 28.62°C, 551.00m; (sol) 
 - : 735, 450s, 949.04hPa, 28.63°C, 550.00m; (sol) 
 - : 736, 451s, 949.03hPa, 28.62°C, 550.00m; (sol) 
 - : 737, 452s, 949.02hPa, 28.62°C, 550.00m; (sol) 
 - : 738, 452s, 949.06hPa, 28.61°C, 550.00m; (sol) 
 - : 739, 453s, 949.06hPa, 28.63°C, 550.00m; (sol) 
 - : 740, 453s, 949.03hPa, 28.62°C, 549.00m; (sol) 
 - : 741, 454s, 949.03hPa, 28.62°C, 550.00m; (sol) 
 - : 742, 455s, 949.03hPa, 28.62°C, 550.00m; (sol) 
 - : 743, 455s, 948.94hPa, 28.62°C, 550.00m; (sol) 
 - : 744, 456s, 949.00hPa, 28.62°C, 551.00m; (sol) 
 - : 745, 457s, 948.96hPa, 28.62°C, 551.00m; (sol) 
 - : 746, 457s, 948.99hPa, 28.62°C, 550.00m; (sol) 
 - : 747, 458s, 948.99hPa, 28.61°C, 550.00m; (sol) 
 - : 748, 458s, 949.08hPa, 28.62°C, 550.00m; (sol) 
 - : 749, 459s, 949.03hPa, 28.62°C, 550.00m; (sol) 
 - : 750, 460s, 949.00hPa, 28.62°C, 551.00m; (sol) 
 - : 751, 460s, 949.14hPa, 28.62°C, 549.00m; (sol) 
 - : 752, 461s, 949.06hPa, 28.63°C, 550.00m; (sol) 
 - : 753, 461s, 949.04hPa, 28.63°C, 550.00m; (sol) 
 - : 754, 462s, 948.98hPa, 28.63°C, 551.00m; (sol) 
 - : 755, 463s, 949.06hPa, 28.62°C, 550.00m; (sol) 
 - : 756, 463s, 949.42hPa, 28.64°C, 547.00m; (sol) 
 - : 757, 464s, 949.33hPa, 28.63°C, 548.00m; (sol) 
 - : 758, 464s, 949.36hPa, 28.65°C, 548.00m; (sol) 
 - : 759, 465s, 949.00hPa, 28.64°C, 550.00m; (sol) 
 - : 760, 466s, 949.02hPa, 28.64°C, 550.00m; (sol) 
 - : 761, 466s, 948.93hPa, 28.64°C, 550.00m; (sol) 
 - : 762, 467s, 948.98hPa, 28.63°C, 550.00m; (sol) 
 - : 763, 468s, 949.02hPa, 28.64°C, 550.00m; (sol) 
 - : 764, 468s, 949.04hPa, 28.61°C, 550.00m; (sol) 
 - : 765, 469s, 949.07hPa, 28.61°C, 550.00m; (sol) 
 - : 766, 469s, 948.99hPa, 28.61°C, 550.00m; (sol) 
 - : 767, 470s, 949.00hPa, 28.60°C, 550.00m; (sol) 
 - : 768, 471s, 948.97hPa, 28.60°C, 550.00m; (sol) 
 - : 769, 471s, 949.00hPa, 28.60°C, 550.00m; (sol) 
 - : 770, 472s, 949.01hPa, 28.61°C, 550.00m; (sol) 
 - : 772, 473s, 949.06hPa, 28.61°C, 550.00m; (sol) 
 - : 773, 474s, 949.04hPa, 28.61°C, 550.00m; (sol) 
 - : 774, 474s, 949.04hPa, 28.61°C, 550.00m; (sol) 
 - : 775, 475s, 949.09hPa, 28.60°C, 550.00m; (sol) 
 - : 776, 476s, 949.00hPa, 28.60°C, 550.00m; (sol) 
 - : 777, 476s, 949.00hPa, 28.60°C, 550.00m; (sol) 
 - : 778, 477s, 949.12hPa, 28.60°C, 550.00m; (sol) 
 - : 779, 478s, 949.04hPa, 28.59°C, 550.00m; (sol) 
 - : 780, 478s, 949.07hPa, 28.59°C, 550.00m; (sol) 
 - : 781, 479s, 949.06hPa, 28.58°C, 550.00m; (sol) 
 - : 782, 479s, 949.00hPa, 28.58°C, 550.00m; (sol) 
 - : 783, 480s, 949.12hPa, 28.59°C, 549.00m; (sol) 
 - : 784, 481s, 949.09hPa, 28.58°C, 550.00m; (sol) 
 - : 785, 481s, 949.07hPa, 28.59°C, 550.00m; (sol) 
 - : 786, 482s, 949.04hPa, 28.57°C, 550.00m; (sol) 
 - : 787, 483s, 949.01hPa, 28.55°C, 551.00m; (sol) 
 - : 788, 483s, 949.02hPa, 28.54°C, 549.00m; (sol) 
 - : 789, 484s, 949.02hPa, 28.52°C, 550.00m; (sol) 
 - : 790, 484s, 949.03hPa, 28.52°C, 549.00m; (sol) 
 - : 791, 485s, 949.05hPa, 28.52°C, 549.00m; (sol) 
 - : 792, 486s, 949.09hPa, 28.47°C, 550.00m; (sol) 
 - : 793, 486s, 949.00hPa, 28.47°C, 549.00m; (sol) 
 - : 794, 487s, 949.10hPa, 28.48°C, 550.00m; (sol) 
 - : 795, 487s, 949.15hPa, 28.47°C, 548.00m; (sol) 
 - : 796, 488s, 949.13hPa, 28.48°C, 550.00m; (sol) 
 - : 797, 489s, 949.26hPa, 28.47°C, 548.00m; (sol) 
 - : 798, 489s, 949.24hPa, 28.50°C, 548.00m; (sol) 
 - : 799, 490s, 949.22hPa, 28.50°C, 548.00m; (sol) 
 - : 800, 490s, 949.22hPa, 28.50°C, 548.00m; (sol) 
 - : 801, 491s, 949.28hPa, 28.50°C, 548.00m; (sol) 
 - : 802, 492s, 949.14hPa, 28.51°C, 549.00m; (sol) 
 - : 803, 492s, 949.31hPa, 28.51°C, 547.00m; (sol) 
 - : 805, 493s, 949.23hPa, 28.52°C, 548.00m; (sol) 
 - : 806, 494s, 949.02hPa, 28.52°C, 550.00m; (sol) 
 - : 807, 495s, 949.09hPa, 28.49°C, 550.00m; (sol) 
 - : 808, 495s, 949.14hPa, 28.49°C, 550.00m; (sol) 
 - : 809, 496s, 949.21hPa, 28.50°C, 548.00m; (sol) 
 - : 810, 496s, 949.08hPa, 28.51°C, 550.00m; (sol) 
 - : 811, 497s, 948.97hPa, 28.51°C, 550.00m; (sol) 
 - : 812, 498s, 949.10hPa, 28.50°C, 549.00m; (sol) 
 - : 813, 498s, 949.14hPa, 28.48°C, 549.00m; (sol) 
 - : 814, 499s, 949.25hPa, 28.48°C, 549.00m; (sol) 
 - : 815, 500s, 949.09hPa, 28.49°C, 549.00m; (sol) 
 - : 816, 500s, 949.14hPa, 28.49°C, 549.00m; (sol) 
 - : 817, 501s, 949.01hPa, 28.50°C, 551.00m; (sol) 
 - : 819, 502s, 949.04hPa, 28.50°C, 550.00m; (sol) 
 - : 820, 503s, 949.01hPa, 28.50°C, 549.00m; (sol) 
 - : 821, 503s, 949.06hPa, 28.51°C, 549.00m; (sol) 
 - : 822, 504s, 949.00hPa, 28.51°C, 551.00m; (sol) 
 - : 823, 504s, 949.04hPa, 28.50°C, 550.00m; (sol) 
 - : 824, 505s, 949.02hPa, 28.50°C, 550.00m; (sol) 
 - : 825, 506s, 949.08hPa, 28.51°C, 550.00m; (sol) 
 - : 832, 510s, 949.06hPa, 28.53°C, 550.00m; (sol) 
 - : 833, 511s, 949.04hPa, 28.51°C, 549.00m; (sol) 
 - : 836, 512s, 949.13hPa, 28.53°C, 549.00m; (sol) 
 - : 837, 513s, 949.16hPa, 28.52°C, 549.00m; (sol) 
 - : 839, 514s, 949.13hPa, 28.54°C, 549.00m; (sol) 
 - : 840, 515s, 949.09hPa, 28.55°C, 549.00m; (sol) 
 - : 841, 515s, 949.05hPa, 28.54°C, 549.00m; (sol) 
 - : 842, 516s, 949.08hPa, 28.54°C, 550.00m; (sol) 
 - : 843, 517s, 949.08hPa, 28.54°C, 549.00m; (sol) 
 - : 844, 517s, 949.05hPa, 28.54°C, 549.00m; (sol) 
 - : 845, 518s, 949.20hPa, 28.55°C, 549.00m; (sol) 
 - : 846, 519s, 949.11hPa, 28.54°C, 549.00m; (sol) 
 - : 848, 520s, 949.13hPa, 28.55°C, 549.00m; (sol) 
 - : 849, 520s, 949.13hPa, 28.55°C, 549.00m; (sol) 
 - : 850, 521s, 949.12hPa, 28.55°C, 549.00m; (sol) 
 - : 851, 522s, 949.08hPa, 28.54°C, 549.00m; (sol) 
 - : 852, 522s, 949.15hPa, 28.55°C, 549.00m; (sol) 
 - : 855, 524s, 949.18hPa, 28.55°C, 549.00m; (sol) 
 - : 856, 525s, 949.10hPa, 28.57°C, 549.00m; (sol) 
 - : 857, 525s, 949.01hPa, 28.57°C, 550.00m; (sol) 
 - : 858, 526s, 949.30hPa, 28.58°C, 548.00m; (sol) 
 - : 859, 527s, 949.20hPa, 28.58°C, 548.00m; (sol) 
 - : 860, 527s, 949.20hPa, 28.58°C, 549.00m; (sol) 
 - : 861, 528s, 949.22hPa, 28.59°C, 547.00m; (sol) 
 - : 863, 529s, 949.25hPa, 28.62°C, 548.00m; (sol) 
 - : 864, 530s, 949.26hPa, 28.62°C, 548.00m; (sol) 
 - : 865, 530s, 949.21hPa, 28.63°C, 548.00m; (sol) 
 - : 866, 531s, 949.34hPa, 28.64°C, 547.00m; (sol) 
 - : 868, 532s, 949.10hPa, 28.65°C, 549.00m; (sol) 
 - : 869, 533s, 949.06hPa, 28.64°C, 550.00m; (sol) 
 - : 870, 533s, 949.24hPa, 28.65°C, 549.00m; (sol) 
 - : 871, 534s, 949.00hPa, 28.64°C, 550.00m; (sol) 
 - : 872, 535s, 949.11hPa, 28.64°C, 550.00m; (sol) 
 - : 873, 535s, 949.04hPa, 28.61°C, 550.00m; (sol) 
 - : 874, 536s, 949.06hPa, 28.60°C, 550.00m; (sol) 
 - : 875, 536s, 949.04hPa, 28.61°C, 550.00m; (sol) 
 - : 876, 537s, 948.99hPa, 28.60°C, 550.00m; (sol) 
 - : 877, 538s, 949.08hPa, 28.60°C, 550.00m; (sol) 
 - : 878, 538s, 949.01hPa, 28.59°C, 550.00m; (sol) 
 - : 879, 539s, 949.03hPa, 28.58°C, 550.00m; (sol) 
 - : 881, 540s, 949.02hPa, 28.58°C, 550.00m; (sol) 
 - : 882, 541s, 949.16hPa, 28.58°C, 549.00m; (sol) 
 - : 883, 541s, 949.17hPa, 28.60°C, 549.00m; (sol) 
 - : 884, 542s, 949.12hPa, 28.59°C, 550.00m; (sol) 
 - : 886, 543s, 949.05hPa, 28.56°C, 550.00m; (sol) 
 - : 887, 544s, 949.34hPa, 28.56°C, 547.00m; (sol) 
 - : 888, 544s, 949.37hPa, 28.58°C, 547.00m; (sol) 
 - : 889, 545s, 949.30hPa, 28.59°C, 547.00m; (sol) 
 - : 890, 546s, 949.39hPa, 28.61°C, 547.00m; (sol) 
 - : 891, 546s, 949.32hPa, 28.62°C, 547.00m; (sol) 
 - : 916, 561s, 949.09hPa, 28.66°C, 549.00m; (sol) 
 - : 918, 563s, 949.16hPa, 28.67°C, 549.00m; (sol) 
 - : 919, 563s, 949.13hPa, 28.67°C, 549.00m; (sol) 
 - : 927, 568s, 949.14hPa, 28.72°C, 549.00m; (sol) 
 - : 939, 576s, 949.19hPa, 28.77°C, 548.00m; (sol) 
 - : 940, 576s, 949.16hPa, 28.77°C, 549.00m; (sol) 
 - : 941, 577s, 949.12hPa, 28.76°C, 549.00m; (sol) 
 - : 942, 578s, 949.10hPa, 28.77°C, 550.00m; (sol) 
 - : 946, 580s, 948.99hPa, 28.77°C, 550.00m; (sol) 
 - : 947, 581s, 949.01hPa, 28.77°C, 551.00m; (sol) 
 - : 948, 581s, 949.00hPa, 28.78°C, 550.00m; (sol) 
 - : 951, 583s, 948.99hPa, 28.75°C, 550.00m; (sol) 
 - : 952, 584s, 949.02hPa, 28.75°C, 550.00m; (sol) 
 - : 953, 584s, 948.96hPa, 28.73°C, 550.00m; (sol) 
 - : 954, 585s, 949.01hPa, 28.74°C, 550.00m; (sol) 
 - : 955, 585s, 948.98hPa, 28.73°C, 550.00m; (sol) 
 - : 956, 586s, 949.02hPa, 28.72°C, 550.00m; (sol) 
 - : 958, 587s, 948.99hPa, 28.71°C, 551.00m; (sol) 
 - : 959, 588s, 948.89hPa, 28.71°C, 551.00m; (sol) 
 - : 962, 590s, 948.96hPa, 28.69°C, 550.00m; (sol) 
 - : 965, 592s, 948.92hPa, 28.69°C, 551.00m; (sol) 
 - : 967, 593s, 948.98hPa, 28.66°C, 550.00m; (sol) 
 - : 970, 595s, 948.99hPa, 28.67°C, 551.00m; (sol) 
 - : 971, 595s, 949.01hPa, 28.67°C, 550.00m; (sol) 
 - : 972, 596s, 948.98hPa, 28.66°C, 550.00m; (sol) 
 - : 973, 596s, 948.98hPa, 28.65°C, 550.00m; (sol) 
 - : 974, 597s, 949.07hPa, 28.67°C, 550.00m; (sol) 
 - : 975, 598s, 949.05hPa, 28.66°C, 550.00m; (sol) 
 - : 976, 598s, 949.01hPa, 28.65°C, 550.00m; (sol) 
 - : 977, 599s, 949.01hPa, 28.65°C, 550.00m; (sol) 
 - : 978, 599s, 949.00hPa, 28.64°C, 551.00m; (sol) 
 - : 979, 600s, 949.02hPa, 28.64°C, 550.00m; (sol) 
 - : 981, 601s, 948.99hPa, 28.64°C, 550.00m; (sol) 
 - : 987, 605s, 949.00hPa, 28.62°C, 550.00m; (sol) 
 - : 988, 606s, 949.05hPa, 28.62°C, 550.00m; (sol) 
 - : 992, 608s, 949.03hPa, 28.62°C, 550.00m; (sol) 
 - : 994, 609s, 949.03hPa, 28.62°C, 550.00m; (sol) 
 - : 995, 610s, 948.96hPa, 28.63°C, 550.00m; (sol) 
 - : 998, 612s, 949.02hPa, 28.62°C, 550.00m; (sol) 
 - : 999, 612s, 948.99hPa, 28.62°C, 550.00m; (sol) 
 - : 1001, 614s, 948.99hPa, 28.61°C, 551.00m; (sol) 
 - : 1002, 614s, 948.91hPa, 28.60°C, 551.00m; (sol) 
 - : 1005, 616s, 948.98hPa, 28.59°C, 551.00m; (sol) 
 - : 1006, 617s, 949.03hPa, 28.58°C, 550.00m; (sol) 
 - : 1007, 617s, 948.99hPa, 28.59°C, 551.00m; (sol) 
 - : 1008, 618s, 949.09hPa, 28.60°C, 551.00m; (sol) 
 - : 1016, 623s, 948.99hPa, 28.58°C, 550.00m; (sol) 
 - : 1017, 624s, 948.99hPa, 28.58°C, 550.00m; (sol) 
 - : 1018, 624s, 948.99hPa, 28.58°C, 550.00m; (sol) 
 - : 1019, 625s, 949.07hPa, 28.59°C, 550.00m; (sol) 
 - : 1022, 627s, 949.22hPa, 28.58°C, 548.00m; (sol) 
 - : 1024, 628s, 949.04hPa, 28.59°C, 550.00m; (sol) 
 - : 1025, 628s, 949.00hPa, 28.58°C, 550.00m; (sol) 
 - : 1026, 629s, 948.96hPa, 28.58°C, 550.00m; (sol) 
 - : 1028, 630s, 949.00hPa, 28.58°C, 550.00m; (sol) 
 - : 1029, 631s, 948.97hPa, 28.58°C, 551.00m; (sol) 
 - : 1030, 632s, 949.00hPa, 28.58°C, 550.00m; (sol) 
 - : 1031, 632s, 948.94hPa, 28.58°C, 551.00m; (sol) 
 - : 1032, 633s, 949.02hPa, 28.58°C, 550.00m; (sol) 
 - : 1033, 633s, 948.97hPa, 28.57°C, 551.00m; (sol) 
 - : 1037, 636s, 949.02hPa, 28.56°C, 550.00m; (sol) 
 - : 1038, 636s, 948.96hPa, 28.56°C, 551.00m; (sol) 
 - : 1039, 637s, 949.01hPa, 28.55°C, 550.00m; (sol) 
 - : 1040, 638s, 948.91hPa, 28.54°C, 551.00m; (sol) 
 - : 1041, 638s, 949.03hPa, 28.54°C, 550.00m; (sol) 
 - : 1042, 639s, 949.04hPa, 28.53°C, 550.00m; (sol) 
 - : 1043, 639s, 949.00hPa, 28.54°C, 550.00m; (sol) 
 - : 1044, 640s, 949.00hPa, 28.53°C, 550.00m; (sol) 
 - : 1045, 641s, 948.94hPa, 28.52°C, 550.00m; (sol) 
 - : 1046, 641s, 949.03hPa, 28.53°C, 550.00m; (sol) 
 - : 1047, 642s, 949.02hPa, 28.52°C, 550.00m; (sol) 
 - : 1048, 642s, 948.99hPa, 28.52°C, 550.00m; (sol) 
 - : 1049, 643s, 949.01hPa, 28.51°C, 550.00m; (sol) 
 - : 1050, 644s, 949.01hPa, 28.51°C, 551.00m; (sol) 
 - : 1052, 645s, 949.00hPa, 28.51°C, 549.00m; (sol) 
 - : 1056, 647s, 949.02hPa, 28.48°C, 550.00m; (sol) 
 - : 1057, 648s, 948.95hPa, 28.47°C, 550.00m; (sol) 
 - : 1058, 649s, 949.02hPa, 28.48°C, 551.00m; (sol) 
 - : 1059, 649s, 949.01hPa, 28.47°C, 550.00m; (sol) 
 - : 1061, 650s, 948.96hPa, 28.46°C, 550.00m; (sol) 
 - : 1075, 659s, 949.06hPa, 28.41°C, 549.00m; (sol) 
 - : 1076, 660s, 949.07hPa, 28.40°C, 550.00m; (sol) 
 - : 1077, 660s, 949.08hPa, 28.40°C, 550.00m; (sol) 
 - : 1078, 661s, 949.03hPa, 28.39°C, 550.00m; (sol) 
 - : 1080, 662s, 949.08hPa, 28.39°C, 550.00m; (sol) 
 - : 1081, 663s, 949.04hPa, 28.38°C, 550.00m; (sol) 
 - : 1082, 663s, 949.01hPa, 28.38°C, 550.00m; (sol) 
 - : 1089, 668s, 949.09hPa, 28.36°C, 550.00m; (sol) 
 - : 1090, 668s, 949.11hPa, 28.35°C, 550.00m; (sol) 
 - : 1092, 670s, 949.09hPa, 28.35°C, 550.00m; (sol) 
 - : 1093, 670s, 949.02hPa, 28.35°C, 550.00m; (sol) 
 - : 1094, 671s, 949.02hPa, 28.35°C, 550.00m; (sol) 
 - : 1097, 673s, 949.01hPa, 28.34°C, 550.00m; (sol) 
 - : 1098, 673s, 949.09hPa, 28.33°C, 550.00m; (sol) 
 - : 1099, 674s, 949.04hPa, 28.32°C, 550.00m; (sol) 
 - : 1103, 676s, 949.09hPa, 28.31°C, 550.00m; (sol) 
 - : 1104, 677s, 949.12hPa, 28.30°C, 550.00m; (sol) 
 - : 1105, 677s, 949.05hPa, 28.31°C, 550.00m; (sol) 
 - : 1106, 678s, 949.07hPa, 28.30°C, 550.00m; (sol) 
 - : 1107, 679s, 949.07hPa, 28.30°C, 550.00m; (sol) 
 - : 1108, 679s, 949.12hPa, 28.30°C, 549.00m; (sol) 
