 - : 1, 0s, 949.59hPa, 26.99°C, 545.00m; (sol) 
 - : 957, 586s, 949.71hPa, 27.75°C, 544.00m; (sol) 
 - : 958, 587s, 949.70hPa, 27.74°C, 545.00m; (sol) 
 - : 959, 587s, 949.69hPa, 27.73°C, 544.00m; (sol) 
 - : 960, 588s, 949.67hPa, 27.74°C, 544.00m; (sol) 
 - : 961, 589s, 949.63hPa, 27.73°C, 545.00m; (sol) 
 - : 962, 589s, 949.68hPa, 27.73°C, 544.00m; (sol) 
 - : 963, 590s, 949.66hPa, 27.71°C, 544.00m; (sol) 
 - : 964, 590s, 949.67hPa, 27.72°C, 544.00m; (sol) 
 - : 965, 591s, 949.66hPa, 27.71°C, 545.00m; (sol) 
 - : 966, 592s, 949.66hPa, 27.71°C, 544.00m; (sol) 
 - : 967, 592s, 949.68hPa, 27.71°C, 544.00m; (sol) 
 - : 968, 593s, 949.70hPa, 27.70°C, 544.00m; (sol) 
 - : 969, 593s, 949.65hPa, 27.65°C, 544.00m; (sol) 
 - : 970, 594s, 949.64hPa, 27.66°C, 544.00m; (sol) 
 - : 971, 595s, 949.72hPa, 27.64°C, 544.00m; (sol) 
 - : 972, 595s, 949.68hPa, 27.63°C, 545.00m; (sol) 
 - : 973, 596s, 949.67hPa, 27.64°C, 544.00m; (sol) 
 - : 974, 596s, 949.66hPa, 27.65°C, 545.00m; (sol) 
 - : 975, 597s, 949.61hPa, 27.64°C, 545.00m; (sol) 
 - : 976, 598s, 949.66hPa, 27.63°C, 544.00m; (sol) 
 - : 977, 598s, 949.67hPa, 27.64°C, 544.00m; (sol) 
 - : 978, 599s, 949.60hPa, 27.63°C, 545.00m; (sol) 
 - : 979, 599s, 949.60hPa, 27.63°C, 545.00m; (sol) 
 - : 980, 600s, 949.67hPa, 27.62°C, 545.00m; (sol) 
 - : 981, 601s, 949.69hPa, 27.61°C, 545.00m; (sol) 
 - : 982, 601s, 949.71hPa, 27.63°C, 545.00m; (sol) 
 - : 983, 602s, 949.62hPa, 27.62°C, 545.00m; (sol) 
 - : 984, 602s, 949.66hPa, 27.63°C, 545.00m; (sol) 
 - : 985, 603s, 949.63hPa, 27.63°C, 545.00m; (sol) 
 - : 986, 604s, 949.69hPa, 27.64°C, 544.00m; (sol) 
 - : 987, 604s, 949.65hPa, 27.63°C, 545.00m; (sol) 
 - : 988, 605s, 949.63hPa, 27.61°C, 545.00m; (sol) 
 - : 989, 606s, 949.72hPa, 27.62°C, 545.00m; (sol) 
 - : 990, 606s, 949.70hPa, 27.60°C, 545.00m; (sol) 
 - : 991, 607s, 949.64hPa, 27.60°C, 545.00m; (sol) 
 - : 992, 607s, 949.65hPa, 27.59°C, 544.00m; (sol) 
 - : 993, 608s, 949.69hPa, 27.60°C, 545.00m; (sol) 
 - : 994, 609s, 949.67hPa, 27.60°C, 544.00m; (sol) 
 - : 995, 609s, 949.65hPa, 27.61°C, 545.00m; (sol) 
 - : 996, 610s, 949.64hPa, 27.62°C, 545.00m; (sol) 
 - : 997, 610s, 949.69hPa, 27.63°C, 545.00m; (sol) 
 - : 998, 611s, 949.73hPa, 27.62°C, 544.00m; (sol) 
 - : 999, 612s, 949.75hPa, 27.63°C, 544.00m; (sol) 
 - : 1000, 612s, 949.69hPa, 27.63°C, 544.00m; (sol) 
 - : 1001, 613s, 949.68hPa, 27.65°C, 544.00m; (sol) 
 - : 1002, 614s, 949.69hPa, 27.66°C, 544.00m; (sol) 
 - : 1003, 614s, 949.66hPa, 27.66°C, 544.00m; (sol) 
 - : 1004, 615s, 949.71hPa, 27.67°C, 545.00m; (sol) 
 - : 1005, 615s, 949.69hPa, 27.68°C, 544.00m; (sol) 
 - : 1006, 616s, 949.67hPa, 27.68°C, 545.00m; (sol) 
 - : 1007, 617s, 949.65hPa, 27.68°C, 544.00m; (sol) 
 - : 1008, 617s, 949.66hPa, 27.69°C, 544.00m; (sol) 
 - : 1009, 618s, 949.78hPa, 27.69°C, 544.00m; (sol) 
 - : 1010, 619s, 949.69hPa, 27.69°C, 544.00m; (sol) 
 - : 1011, 619s, 949.70hPa, 27.70°C, 544.00m; (sol) 
 - : 1012, 620s, 949.68hPa, 27.71°C, 544.00m; (sol) 
 - : 1013, 620s, 949.68hPa, 27.72°C, 544.00m; (sol) 
 - : 1014, 621s, 949.61hPa, 27.72°C, 544.00m; (sol) 
 - : 1015, 622s, 949.68hPa, 27.70°C, 545.00m; (sol) 
 - : 1016, 622s, 949.64hPa, 27.72°C, 544.00m; (sol) 
 - : 1017, 623s, 949.65hPa, 27.72°C, 544.00m; (sol) 
 - : 1018, 623s, 949.65hPa, 27.73°C, 544.00m; (sol) 
 - : 1019, 624s, 949.71hPa, 27.72°C, 544.00m; (sol) 
 - : 1020, 625s, 949.65hPa, 27.73°C, 544.00m; (sol) 
 - : 1021, 625s, 949.69hPa, 27.73°C, 545.00m; (sol) 
 - : 1022, 626s, 949.69hPa, 27.73°C, 544.00m; (sol) 
 - : 1023, 627s, 949.71hPa, 27.73°C, 545.00m; (sol) 
 - : 1024, 627s, 949.71hPa, 27.73°C, 545.00m; (sol) 
 - : 1025, 628s, 949.66hPa, 27.71°C, 545.00m; (sol) 
 - : 1026, 628s, 949.68hPa, 27.73°C, 545.00m; (sol) 
 - : 1027, 629s, 949.70hPa, 27.74°C, 544.00m; (sol) 
 - : 1028, 630s, 949.68hPa, 27.72°C, 545.00m; (sol) 
 - : 1029, 630s, 949.46hPa, 27.67°C, 546.00m; (sol) 
 - : 1030, 631s, 949.57hPa, 27.67°C, 545.00m; (sol) 
 - : 1031, 631s, 949.28hPa, 27.67°C, 548.00m; (sol) 
 - : 1032, 632s, 949.33hPa, 27.67°C, 548.00m; (sol) 
 - : 1, 0s, 776.79hPa, 20.03°C, 546.00m; (sol) 
 - : 2, 1s, 949.61hPa, 27.62°C, 545.00m; (sol) 
 - : 3, 2s, 949.58hPa, 27.62°C, 544.00m; (sol) 
 - : 4, 2s, 949.54hPa, 27.65°C, 545.00m; (sol) 
 - : 5, 3s, 949.56hPa, 27.66°C, 545.00m; (sol) 
 - : 6, 3s, 949.58hPa, 27.66°C, 545.00m; (sol) 
 - : 7, 4s, 949.64hPa, 27.66°C, 545.00m; (sol) 
 - : 8, 5s, 949.60hPa, 27.67°C, 545.00m; (sol) 
 - : 9, 5s, 949.66hPa, 27.67°C, 545.00m; (sol) 
 - : 10, 6s, 949.63hPa, 27.67°C, 544.00m; (sol) 
 - : 11, 6s, 949.66hPa, 27.68°C, 545.00m; (sol) 
 - : 12, 7s, 949.56hPa, 27.68°C, 544.00m; (sol) 
 - : 13, 8s, 949.56hPa, 27.68°C, 545.00m; (sol) 
 - : 14, 8s, 949.61hPa, 27.68°C, 545.00m; (sol) 
 - : 15, 9s, 949.61hPa, 27.68°C, 544.00m; (sol) 
 - : 16, 9s, 949.61hPa, 27.68°C, 545.00m; (sol) 
 - : 17, 10s, 949.66hPa, 27.68°C, 545.00m; (sol) 
 - : 18, 11s, 949.60hPa, 27.69°C, 545.00m; (sol) 
 - : 19, 11s, 949.57hPa, 27.71°C, 545.00m; (sol) 
 - : 20, 12s, 949.63hPa, 27.71°C, 545.00m; (sol) 
 - : 21, 13s, 949.57hPa, 27.73°C, 545.00m; (sol) 
 - : 22, 13s, 949.69hPa, 27.73°C, 545.00m; (sol) 
 - : 23, 14s, 949.63hPa, 27.73°C, 545.00m; (sol) 
 - : 24, 14s, 949.65hPa, 27.73°C, 545.00m; (sol) 
 - : 25, 15s, 949.56hPa, 27.72°C, 545.00m; (sol) 
 - : 26, 16s, 949.62hPa, 27.74°C, 545.00m; (sol) 
 - : 27, 16s, 949.63hPa, 27.75°C, 545.00m; (sol) 
 - : 28, 17s, 949.61hPa, 27.74°C, 545.00m; (sol) 
 - : 29, 17s, 949.56hPa, 27.68°C, 545.00m; (sol) 
 - : 30, 18s, 949.60hPa, 27.65°C, 546.00m; (sol) 
 - : 31, 19s, 949.58hPa, 27.66°C, 545.00m; (sol) 
 - : 32, 19s, 949.59hPa, 27.67°C, 545.00m; (sol) 
 - : 33, 20s, 949.61hPa, 27.68°C, 545.00m; (sol) 
 - : 34, 20s, 949.54hPa, 27.69°C, 545.00m; (sol) 
 - : 35, 21s, 949.55hPa, 27.69°C, 545.00m; (sol) 
 - : 36, 22s, 949.65hPa, 27.70°C, 545.00m; (sol) 
 - : 37, 22s, 949.62hPa, 27.72°C, 545.00m; (sol) 
 - : 38, 23s, 949.56hPa, 27.72°C, 545.00m; (sol) 
 - : 39, 24s, 949.64hPa, 27.74°C, 545.00m; (sol) 
 - : 40, 24s, 949.57hPa, 27.75°C, 545.00m; (sol) 
 - : 41, 25s, 949.55hPa, 27.75°C, 545.00m; (sol) 
 - : 42, 25s, 949.58hPa, 27.76°C, 545.00m; (sol) 
 - : 43, 26s, 949.49hPa, 27.75°C, 545.00m; (sol) 
 - : 44, 27s, 949.63hPa, 27.75°C, 545.00m; (sol) 
 - : 45, 27s, 949.63hPa, 27.71°C, 545.00m; (sol) 
 - : 46, 28s, 949.61hPa, 27.72°C, 545.00m; (sol) 
 - : 47, 28s, 949.59hPa, 27.72°C, 545.00m; (sol) 
 - : 48, 29s, 949.60hPa, 27.71°C, 545.00m; (sol) 
 - : 49, 30s, 949.63hPa, 27.71°C, 545.00m; (sol) 
 - : 50, 30s, 949.59hPa, 27.72°C, 545.00m; (sol) 
 - : 51, 31s, 949.50hPa, 27.72°C, 545.00m; (sol) 
 - : 52, 32s, 949.54hPa, 27.73°C, 544.00m; (sol) 
 - : 53, 32s, 949.55hPa, 27.72°C, 545.00m; (sol) 
 - : 54, 33s, 949.59hPa, 27.70°C, 545.00m; (sol) 
 - : 55, 33s, 949.61hPa, 27.70°C, 545.00m; (sol) 
 - : 56, 34s, 949.61hPa, 27.69°C, 545.00m; (sol) 
 - : 57, 35s, 949.64hPa, 27.70°C, 544.00m; (sol) 
 - : 58, 35s, 949.61hPa, 27.69°C, 545.00m; (sol) 
 - : 59, 36s, 949.61hPa, 27.69°C, 545.00m; (sol) 
 - : 60, 37s, 949.59hPa, 27.70°C, 544.00m; (sol) 
 - : 61, 37s, 949.68hPa, 27.70°C, 545.00m; (sol) 
 - : 62, 38s, 949.59hPa, 27.67°C, 545.00m; (sol) 
 - : 63, 38s, 949.59hPa, 27.63°C, 545.00m; (sol) 
 - : 64, 39s, 949.59hPa, 27.63°C, 544.00m; (sol) 
 - : 65, 40s, 949.58hPa, 27.64°C, 546.00m; (sol) 
 - : 66, 40s, 949.62hPa, 27.65°C, 545.00m; (sol) 
 - : 67, 41s, 949.59hPa, 27.64°C, 545.00m; (sol) 
 - : 68, 41s, 949.59hPa, 27.63°C, 545.00m; (sol) 
 - : 69, 42s, 949.61hPa, 27.60°C, 545.00m; (sol) 
 - : 70, 43s, 949.60hPa, 27.59°C, 545.00m; (sol) 
 - : 71, 43s, 949.55hPa, 27.60°C, 546.00m; (sol) 
 - : 72, 44s, 949.40hPa, 27.56°C, 546.00m; (sol) 
 - : 73, 45s, 949.28hPa, 27.57°C, 548.00m; (sol) 
 - : 74, 45s, 949.21hPa, 27.56°C, 549.00m; (sol) 
 - : 75, 46s, 949.35hPa, 27.56°C, 547.00m; (sol) 
 - : 76, 46s, 949.47hPa, 27.54°C, 546.00m; (sol) 
 - : 77, 47s, 949.43hPa, 27.53°C, 546.00m; (sol) 
 - : 78, 48s, 949.41hPa, 27.52°C, 546.00m; (sol) 
 - : 79, 48s, 949.55hPa, 27.52°C, 546.00m; (sol) 
 - : 80, 49s, 949.40hPa, 27.53°C, 546.00m; (sol) 
 - : 81, 49s, 949.45hPa, 27.53°C, 546.00m; (sol) 
 - : 82, 50s, 949.55hPa, 27.54°C, 546.00m; (sol) 
 - : 83, 51s, 949.47hPa, 27.54°C, 546.00m; (sol) 
 - : 84, 51s, 949.45hPa, 27.55°C, 546.00m; (sol) 
 - : 85, 52s, 949.47hPa, 27.54°C, 546.00m; (sol) 
 - : 86, 52s, 949.43hPa, 27.53°C, 547.00m; (sol) 
 - : 87, 53s, 949.50hPa, 27.54°C, 546.00m; (sol) 
 - : 88, 54s, 949.49hPa, 27.52°C, 546.00m; (sol) 
 - : 89, 54s, 949.50hPa, 27.53°C, 546.00m; (sol) 
 - : 90, 55s, 949.42hPa, 27.51°C, 546.00m; (sol) 
 - : 91, 55s, 949.46hPa, 27.52°C, 546.00m; (sol) 
 - : 92, 56s, 949.53hPa, 27.51°C, 546.00m; (sol) 
 - : 93, 57s, 949.45hPa, 27.51°C, 546.00m; (sol) 
 - : 94, 57s, 949.46hPa, 27.50°C, 546.00m; (sol) 
 - : 95, 58s, 949.47hPa, 27.51°C, 546.00m; (sol) 
 - : 96, 58s, 949.47hPa, 27.51°C, 546.00m; (sol) 
 - : 97, 59s, 949.46hPa, 27.50°C, 546.00m; (sol) 
 - : 98, 60s, 949.44hPa, 27.48°C, 547.00m; (sol) 
 - : 99, 60s, 949.45hPa, 27.49°C, 546.00m; (sol) 
 - : 100, 61s, 949.46hPa, 27.48°C, 546.00m; (sol) 
 - : 101, 61s, 949.49hPa, 27.48°C, 546.00m; (sol) 
 - : 102, 62s, 949.51hPa, 27.47°C, 546.00m; (sol) 
 - : 103, 63s, 949.46hPa, 27.46°C, 546.00m; (sol) 
 - : 104, 63s, 949.45hPa, 27.45°C, 546.00m; (sol) 
 - : 105, 64s, 949.49hPa, 27.46°C, 546.00m; (sol) 
 - : 106, 65s, 949.47hPa, 27.47°C, 547.00m; (sol) 
 - : 107, 65s, 949.46hPa, 27.48°C, 546.00m; (sol) 
 - : 108, 66s, 949.43hPa, 27.48°C, 546.00m; (sol) 
 - : 109, 66s, 949.44hPa, 27.47°C, 547.00m; (sol) 
 - : 110, 67s, 949.41hPa, 27.46°C, 546.00m; (sol) 
 - : 111, 68s, 949.46hPa, 27.46°C, 546.00m; (sol) 
 - : 112, 68s, 949.48hPa, 27.47°C, 546.00m; (sol) 
 - : 113, 69s, 949.44hPa, 27.48°C, 546.00m; (sol) 
 - : 114, 69s, 949.41hPa, 27.49°C, 546.00m; (sol) 
 - : 115, 70s, 949.42hPa, 27.49°C, 546.00m; (sol) 
 - : 116, 71s, 949.47hPa, 27.49°C, 546.00m; (sol) 
 - : 117, 71s, 949.44hPa, 27.49°C, 546.00m; (sol) 
 - : 118, 72s, 949.45hPa, 27.49°C, 547.00m; (sol) 
 - : 119, 73s, 949.45hPa, 27.49°C, 546.00m; (sol) 
 - : 120, 73s, 949.45hPa, 27.49°C, 546.00m; (sol) 
 - : 121, 74s, 949.45hPa, 27.49°C, 547.00m; (sol) 
 - : 122, 74s, 949.42hPa, 27.51°C, 547.00m; (sol) 
 - : 123, 75s, 949.39hPa, 27.51°C, 547.00m; (sol) 
 - : 124, 76s, 949.42hPa, 27.51°C, 547.00m; (sol) 
 - : 125, 76s, 949.44hPa, 27.51°C, 546.00m; (sol) 
 - : 126, 77s, 949.34hPa, 27.50°C, 547.00m; (sol) 
 - : 127, 77s, 949.42hPa, 27.49°C, 547.00m; (sol) 
 - : 128, 78s, 949.44hPa, 27.51°C, 547.00m; (sol) 
 - : 129, 79s, 949.49hPa, 27.48°C, 546.00m; (sol) 
 - : 130, 79s, 949.44hPa, 27.49°C, 546.00m; (sol) 
 - : 131, 80s, 949.47hPa, 27.47°C, 547.00m; (sol) 
 - : 132, 81s, 949.42hPa, 27.47°C, 546.00m; (sol) 
 - : 133, 81s, 949.44hPa, 27.48°C, 546.00m; (sol) 
 - : 134, 82s, 949.43hPa, 27.48°C, 546.00m; (sol) 
 - : 135, 82s, 949.47hPa, 27.47°C, 546.00m; (sol) 
 - : 136, 83s, 949.47hPa, 27.46°C, 546.00m; (sol) 
 - : 137, 84s, 949.42hPa, 27.47°C, 547.00m; (sol) 
 - : 138, 84s, 949.37hPa, 27.48°C, 546.00m; (sol) 
 - : 139, 85s, 949.49hPa, 27.46°C, 546.00m; (sol) 
 - : 140, 86s, 949.38hPa, 27.45°C, 546.00m; (sol) 
 - : 141, 86s, 949.49hPa, 27.44°C, 547.00m; (sol) 
 - : 142, 87s, 949.47hPa, 27.45°C, 546.00m; (sol) 
 - : 143, 87s, 949.43hPa, 27.46°C, 546.00m; (sol) 
 - : 144, 88s, 949.42hPa, 27.45°C, 546.00m; (sol) 
 - : 145, 89s, 949.45hPa, 27.41°C, 546.00m; (sol) 
 - : 146, 89s, 949.44hPa, 27.43°C, 546.00m; (sol) 
 - : 147, 90s, 949.47hPa, 27.43°C, 547.00m; (sol) 
 - : 148, 90s, 949.44hPa, 27.41°C, 546.00m; (sol) 
 - : 149, 91s, 949.47hPa, 27.41°C, 547.00m; (sol) 
 - : 150, 92s, 949.43hPa, 27.40°C, 547.00m; (sol) 
 - : 151, 92s, 949.50hPa, 27.41°C, 546.00m; (sol) 
 - : 152, 93s, 949.48hPa, 27.42°C, 546.00m; (sol) 
 - : 153, 94s, 949.43hPa, 27.44°C, 546.00m; (sol) 
 - : 154, 94s, 949.45hPa, 27.44°C, 546.00m; (sol) 
 - : 155, 95s, 949.48hPa, 27.44°C, 546.00m; (sol) 
 - : 156, 95s, 949.45hPa, 27.44°C, 547.00m; (sol) 
 - : 157, 96s, 949.45hPa, 27.43°C, 546.00m; (sol) 
 - : 158, 97s, 949.47hPa, 27.43°C, 546.00m; (sol) 
 - : 159, 97s, 949.47hPa, 27.43°C, 546.00m; (sol) 
 - : 160, 98s, 949.40hPa, 27.42°C, 546.00m; (sol) 
 - : 161, 98s, 949.47hPa, 27.43°C, 546.00m; (sol) 
 - : 162, 99s, 949.48hPa, 27.42°C, 546.00m; (sol) 
 - : 163, 100s, 949.46hPa, 27.42°C, 546.00m; (sol) 
 - : 164, 100s, 949.52hPa, 27.42°C, 547.00m; (sol) 
 - : 165, 101s, 949.42hPa, 27.43°C, 546.00m; (sol) 
 - : 166, 101s, 949.50hPa, 27.45°C, 546.00m; (sol) 
 - : 167, 102s, 949.46hPa, 27.46°C, 546.00m; (sol) 
 - : 168, 103s, 949.51hPa, 27.45°C, 546.00m; (sol) 
 - : 169, 103s, 949.48hPa, 27.45°C, 547.00m; (sol) 
 - : 170, 104s, 949.43hPa, 27.48°C, 546.00m; (sol) 
 - : 171, 104s, 949.47hPa, 27.47°C, 546.00m; (sol) 
 - : 172, 105s, 949.46hPa, 27.48°C, 547.00m; (sol) 
 - : 173, 106s, 949.46hPa, 27.48°C, 546.00m; (sol) 
 - : 174, 106s, 949.41hPa, 27.48°C, 547.00m; (sol) 
 - : 175, 107s, 949.42hPa, 27.47°C, 547.00m; (sol) 
 - : 176, 107s, 949.51hPa, 27.47°C, 547.00m; (sol) 
 - : 177, 108s, 949.46hPa, 27.48°C, 546.00m; (sol) 
 - : 178, 109s, 949.42hPa, 27.47°C, 546.00m; (sol) 
 - : 179, 109s, 949.46hPa, 27.48°C, 546.00m; (sol) 
 - : 180, 110s, 949.44hPa, 27.48°C, 546.00m; (sol) 
 - : 181, 111s, 949.44hPa, 27.51°C, 547.00m; (sol) 
 - : 182, 111s, 949.43hPa, 27.52°C, 547.00m; (sol) 
 - : 183, 112s, 949.43hPa, 27.52°C, 546.00m; (sol) 
 - : 184, 112s, 949.44hPa, 27.51°C, 547.00m; (sol) 
 - : 185, 113s, 949.46hPa, 27.50°C, 546.00m; (sol) 
 - : 186, 114s, 949.44hPa, 27.49°C, 547.00m; (sol) 
 - : 187, 114s, 949.46hPa, 27.48°C, 547.00m; (sol) 
 - : 188, 115s, 949.50hPa, 27.49°C, 546.00m; (sol) 
 - : 189, 115s, 949.47hPa, 27.47°C, 547.00m; (sol) 
 - : 190, 116s, 949.42hPa, 27.47°C, 547.00m; (sol) 
 - : 191, 117s, 949.41hPa, 27.46°C, 546.00m; (sol) 
 - : 192, 117s, 949.39hPa, 27.45°C, 546.00m; (sol) 
 - : 193, 118s, 949.44hPa, 27.46°C, 546.00m; (sol) 
 - : 194, 118s, 949.45hPa, 27.47°C, 546.00m; (sol) 
 - : 195, 119s, 949.44hPa, 27.49°C, 547.00m; (sol) 
 - : 196, 120s, 949.54hPa, 27.47°C, 547.00m; (sol) 
 - : 197, 120s, 949.46hPa, 27.48°C, 546.00m; (sol) 
 - : 198, 121s, 949.39hPa, 27.47°C, 547.00m; (sol) 
 - : 199, 122s, 949.41hPa, 27.48°C, 546.00m; (sol) 
 - : 200, 122s, 949.51hPa, 27.50°C, 546.00m; (sol) 
 - : 201, 123s, 949.50hPa, 27.49°C, 546.00m; (sol) 
 - : 202, 123s, 949.44hPa, 27.49°C, 547.00m; (sol) 
 - : 203, 124s, 949.46hPa, 27.48°C, 546.00m; (sol) 
 - : 204, 125s, 949.44hPa, 27.48°C, 546.00m; (sol) 
 - : 205, 125s, 949.44hPa, 27.49°C, 547.00m; (sol) 
 - : 206, 126s, 949.46hPa, 27.50°C, 546.00m; (sol) 
 - : 207, 127s, 949.39hPa, 27.49°C, 546.00m; (sol) 
 - : 208, 127s, 949.59hPa, 27.51°C, 546.00m; (sol) 
 - : 209, 128s, 949.51hPa, 27.52°C, 546.00m; (sol) 
 - : 210, 128s, 949.46hPa, 27.54°C, 546.00m; (sol) 
 - : 211, 129s, 949.47hPa, 27.54°C, 546.00m; (sol) 
 - : 212, 130s, 949.48hPa, 27.55°C, 546.00m; (sol) 
 - : 213, 130s, 949.38hPa, 27.54°C, 546.00m; (sol) 
 - : 214, 131s, 949.42hPa, 27.55°C, 546.00m; (sol) 
 - : 215, 131s, 949.43hPa, 27.56°C, 546.00m; (sol) 
 - : 216, 132s, 949.50hPa, 27.57°C, 547.00m; (sol) 
 - : 217, 133s, 949.48hPa, 27.57°C, 546.00m; (sol) 
 - : 218, 133s, 949.43hPa, 27.58°C, 546.00m; (sol) 
 - : 219, 134s, 949.48hPa, 27.59°C, 546.00m; (sol) 
 - : 220, 135s, 949.45hPa, 27.59°C, 546.00m; (sol) 
 - : 221, 135s, 949.42hPa, 27.59°C, 546.00m; (sol) 
 - : 222, 136s, 949.45hPa, 27.59°C, 546.00m; (sol) 
 - : 223, 136s, 949.47hPa, 27.59°C, 546.00m; (sol) 
 - : 224, 137s, 949.45hPa, 27.59°C, 546.00m; (sol) 
 - : 225, 138s, 949.47hPa, 27.59°C, 546.00m; (sol) 
 - : 226, 138s, 949.47hPa, 27.60°C, 546.00m; (sol) 
 - : 227, 139s, 949.46hPa, 27.61°C, 546.00m; (sol) 
 - : 228, 140s, 949.45hPa, 27.61°C, 547.00m; (sol) 
 - : 229, 140s, 949.51hPa, 27.61°C, 547.00m; (sol) 
 - : 230, 141s, 949.47hPa, 27.62°C, 547.00m; (sol) 
 - : 231, 141s, 949.47hPa, 27.62°C, 547.00m; (sol) 
 - : 232, 142s, 949.41hPa, 27.62°C, 546.00m; (sol) 
 - : 233, 143s, 949.42hPa, 27.63°C, 546.00m; (sol) 
 - : 234, 143s, 949.41hPa, 27.62°C, 547.00m; (sol) 
 - : 235, 144s, 949.42hPa, 27.63°C, 546.00m; (sol) 
 - : 236, 144s, 949.44hPa, 27.62°C, 546.00m; (sol) 
 - : 237, 145s, 949.43hPa, 27.61°C, 546.00m; (sol) 
 - : 238, 146s, 949.44hPa, 27.60°C, 546.00m; (sol) 
 - : 239, 146s, 949.37hPa, 27.61°C, 546.00m; (sol) 
 - : 240, 147s, 949.52hPa, 27.63°C, 547.00m; (sol) 
 - : 241, 147s, 949.49hPa, 27.64°C, 547.00m; (sol) 
 - : 242, 148s, 949.48hPa, 27.65°C, 547.00m; (sol) 
 - : 243, 149s, 949.42hPa, 27.65°C, 546.00m; (sol) 
 - : 244, 149s, 949.43hPa, 27.65°C, 547.00m; (sol) 
 - : 245, 150s, 949.41hPa, 27.66°C, 546.00m; (sol) 
 - : 246, 150s, 949.44hPa, 27.66°C, 546.00m; (sol) 
 - : 247, 151s, 949.51hPa, 27.65°C, 546.00m; (sol) 
 - : 248, 152s, 949.46hPa, 27.67°C, 547.00m; (sol) 
 - : 249, 152s, 949.43hPa, 27.68°C, 547.00m; (sol) 
 - : 250, 153s, 949.35hPa, 27.68°C, 546.00m; (sol) 
 - : 251, 153s, 949.37hPa, 27.69°C, 547.00m; (sol) 
 - : 252, 154s, 949.42hPa, 27.70°C, 547.00m; (sol) 
 - : 253, 155s, 949.35hPa, 27.71°C, 546.00m; (sol) 
 - : 254, 155s, 949.38hPa, 27.72°C, 546.00m; (sol) 
 - : 255, 156s, 949.43hPa, 27.71°C, 547.00m; (sol) 
 - : 256, 157s, 949.35hPa, 27.70°C, 547.00m; (sol) 
 - : 257, 157s, 949.46hPa, 27.69°C, 547.00m; (sol) 
 - : 258, 158s, 949.40hPa, 27.69°C, 546.00m; (sol) 
 - : 259, 158s, 949.36hPa, 27.68°C, 546.00m; (sol) 
 - : 260, 159s, 949.46hPa, 27.69°C, 546.00m; (sol) 
 - : 261, 160s, 949.36hPa, 27.70°C, 547.00m; (sol) 
 - : 262, 160s, 949.40hPa, 27.71°C, 547.00m; (sol) 
 - : 263, 161s, 949.40hPa, 27.71°C, 547.00m; (sol) 
 - : 264, 161s, 949.37hPa, 27.69°C, 547.00m; (sol) 
 - : 265, 162s, 949.46hPa, 27.69°C, 547.00m; (sol) 
 - : 266, 163s, 949.40hPa, 27.69°C, 547.00m; (sol) 
 - : 267, 163s, 949.39hPa, 27.68°C, 546.00m; (sol) 
 - : 268, 164s, 949.45hPa, 27.68°C, 547.00m; (sol) 
 - : 269, 164s, 949.39hPa, 27.68°C, 547.00m; (sol) 
 - : 270, 165s, 949.44hPa, 27.68°C, 547.00m; (sol) 
 - : 271, 166s, 949.35hPa, 27.68°C, 546.00m; (sol) 
 - : 272, 166s, 949.46hPa, 27.67°C, 546.00m; (sol) 
 - : 273, 167s, 949.33hPa, 27.67°C, 546.00m; (sol) 
 - : 274, 168s, 949.42hPa, 27.67°C, 547.00m; (sol) 
 - : 275, 168s, 949.39hPa, 27.68°C, 546.00m; (sol) 
 - : 276, 169s, 949.32hPa, 27.68°C, 546.00m; (sol) 
 - : 277, 169s, 949.39hPa, 27.68°C, 546.00m; (sol) 
 - : 278, 170s, 949.48hPa, 27.68°C, 546.00m; (sol) 
 - : 279, 171s, 949.46hPa, 27.69°C, 547.00m; (sol) 
 - : 280, 171s, 949.48hPa, 27.70°C, 546.00m; (sol) 
 - : 281, 172s, 949.39hPa, 27.70°C, 547.00m; (sol) 
 - : 282, 172s, 949.43hPa, 27.71°C, 546.00m; (sol) 
 - : 283, 173s, 949.38hPa, 27.70°C, 547.00m; (sol) 
 - : 284, 174s, 949.46hPa, 27.69°C, 547.00m; (sol) 
 - : 285, 174s, 949.46hPa, 27.69°C, 546.00m; (sol) 
 - : 286, 175s, 949.46hPa, 27.69°C, 546.00m; (sol) 
 - : 287, 176s, 949.41hPa, 27.70°C, 547.00m; (sol) 
 - : 288, 176s, 949.44hPa, 27.72°C, 546.00m; (sol) 
 - : 289, 177s, 949.48hPa, 27.70°C, 546.00m; (sol) 
 - : 290, 177s, 949.46hPa, 27.69°C, 546.00m; (sol) 
 - : 291, 178s, 949.47hPa, 27.70°C, 546.00m; (sol) 
 - : 292, 179s, 949.44hPa, 27.72°C, 546.00m; (sol) 
 - : 293, 179s, 949.34hPa, 27.73°C, 546.00m; (sol) 
 - : 294, 180s, 949.51hPa, 27.73°C, 546.00m; (sol) 
 - : 295, 181s, 949.45hPa, 27.74°C, 547.00m; (sol) 
 - : 296, 181s, 949.43hPa, 27.75°C, 546.00m; (sol) 
 - : 297, 182s, 949.38hPa, 27.76°C, 546.00m; (sol) 
 - : 298, 182s, 949.43hPa, 27.77°C, 547.00m; (sol) 
 - : 299, 183s, 949.41hPa, 27.77°C, 547.00m; (sol) 
 - : 300, 184s, 949.39hPa, 27.78°C, 546.00m; (sol) 
